Spain, Population size (abridged)	Last modified: 08 May 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1911       12            220724.00       219090.00       439814.00
     1911       13            196434.00       196616.00       393050.00
     1911       14            200824.00       202007.00       402831.00
     1911       15            185273.00       179953.00       365226.00
     1911       16            185599.00       173089.00       358688.00
     1911       17            176622.00       172549.00       349171.00
     1911       18            203549.00       182758.00       386307.00
     1911       19            163061.00       147052.00       310113.00
     1911       20            201656.00       155726.00       357382.00
     1911       21            144628.00       138637.00       283265.00
     1911       22            179033.00       168953.00       347986.00
     1911       23            158446.00       161722.00       320168.00
     1911       24            173168.00       151027.00       324195.00
     1911       25            169468.00       149101.00       318569.00
     1911       26            161719.00       146265.00       307984.00
     1911       27            138388.00       133594.00       271982.00
     1911       28            168231.00       148763.00       316994.00
     1911       29            121849.00       116013.00       237862.00
     1911       30            221438.00       183402.00       404840.00
     1911       31             97280.00        95998.00       193278.00
     1911       32            142448.00       131779.00       274227.00
     1911       33            122184.00       119590.00       241774.00
     1911       34            135135.00       121572.00       256707.00
     1911       35            135542.00       124217.00       259759.00
     1911       36            142326.00       124136.00       266462.00
     1911       37            108941.00       101918.00       210859.00
     1911       38            137542.00       124456.00       261998.00
     1911       39             96911.00        94718.00       191629.00
     1911       40            216251.00       190700.00       406951.00
     1911       41             75268.00        75170.00       150438.00
     1911       42            115405.00       109908.00       225313.00
     1911       43             88925.00        85509.00       174434.00
     1911       44            112743.00       104564.00       217307.00
     1911       45            121659.00       120581.00       242240.00
     1911       46            110477.00       100190.00       210667.00
     1911       47             84557.00        81120.00       165677.00
     1911       48            118337.00       106807.00       225144.00
     1911       49             80262.00        80744.00       161006.00
     1911       50            199449.00       169997.00       369446.00
     1911       51             62152.00        64689.00       126841.00
     1911       52             91592.00        86859.00       178451.00
     1911       53             67074.00        66339.00       133413.00
     1911       54             91423.00        78119.00       169542.00
     1911       55             88654.00        84168.00       172822.00
     1911       56             91571.00        80732.00       172303.00
     1911       57             63935.00        59372.00       123307.00
     1911       58             88462.00        76499.00       164961.00
     1911       59             57425.00        56569.00       113994.00
     1911       60            176985.00       135293.00       312278.00
     1911       61             46965.00        48142.00        95107.00
     1911       62             66745.00        63474.00       130219.00
     1911       63             51600.00        50596.00       102196.00
     1911       64             65158.00        58434.00       123592.00
     1911       65             66201.00        59168.00       125369.00
     1911       66             56223.00        53371.00       109594.00
     1911       67             41632.00        40935.00        82567.00
     1911       68             52790.00        45468.00        98258.00
     1911       69             31026.00        29547.00        60573.00
     1911       70             87689.00        69062.00       156751.00
     1911       71             20014.00        21055.00        41069.00
     1911       72             28222.00        26574.00        54796.00
     1911       73             19454.00        19708.00        39162.00
     1911       74             23144.00        22224.00        45368.00
     1911       75             24569.00        22257.00        46826.00
     1911       76             20278.00        17696.00        37974.00
     1911       77             13656.00        13332.00        26988.00
     1911       78             16341.00        14499.00        30840.00
     1911       79              8924.00         7895.00        16819.00
     1911       80             19155.73        13140.75        32296.48
     1911       81             15733.57        11187.43        26921.00
     1911       82             13665.20         9509.22        23174.42
     1911       83             11644.32         7902.14        19546.46
     1911       84             10022.94         6527.38        16550.32
     1911       85              8212.37         5104.94        13317.31
     1911       86              6704.59         4025.79        10730.38
     1911       87              5429.09         3112.32         8541.41
     1911       88              4399.68         2366.88         6766.56
     1911       89              3622.70         1846.11         5468.81
     1911       90              2811.39         1420.16         4231.55
     1911       91              2023.96         1021.36         3045.32
     1911       92              1611.72          785.03         2396.75
     1911       93              1257.87          570.52         1828.39
     1911       94              1037.23          431.97         1469.20
     1911       95               796.98          317.90         1114.88
     1911       96               532.21          216.71          748.92
     1911       97               340.30          133.67          473.97
     1911       98               227.85           78.62          306.47
     1911       99               146.89           47.07          193.96
     1911      100                99.07           30.14          129.21
     1911      101                88.28           25.80          114.08
     1911      102                39.76            6.98           46.74
     1911      103                31.29            7.16           38.45
     1911      104                19.39            4.21           23.60
     1911      105                11.57            1.63           13.20
     1911      106                 7.07            0.00            7.07
     1911      107                 3.90            0.00            3.90
     1911      108                 1.73            0.00            1.73
     1911      109                 0.87            0.00            0.87
     1911      110+                0.29            0.00            0.29
     1912        0            270393.10       291787.54       562180.64
     1912        1            198946.75       201452.10       400398.85
     1912        2            212926.33       217352.80       430279.13
     1912        3            240859.03       246950.64       487809.67
     1912        4            236916.91       241221.41       478138.32
     1912        5            235036.91       236291.23       471328.14
     1912        6            229036.60       234268.76       463305.36
     1912        7            235215.54       234900.88       470116.42
     1912        8            233465.69       235041.57       468507.26
     1912        9            236413.92       238072.18       474486.10
     1912       10            210638.91       212340.42       422979.33
     1912       11            234200.89       230576.89       464777.78
     1912       12            190185.18       192076.91       382262.09
     1912       13            218222.34       216211.53       434433.87
     1912       14            194974.48       194405.93       389380.41
     1912       15            200445.49       199204.89       399650.38
     1912       16            186184.42       179512.46       365696.88
     1912       17            185067.52       171695.18       356762.70
     1912       18            175362.75       170457.37       345820.12
     1912       19            201372.14       180603.52       381975.66
     1912       20            160343.40       144832.70       305176.10
     1912       21            204356.62       159693.63       364050.25
     1912       22            142653.55       136611.86       279265.41
     1912       23            176632.60       166645.55       343278.15
     1912       24            156453.53       158576.48       315030.01
     1912       25            170048.74       148505.35       318554.09
     1912       26            167546.01       148195.02       315741.03
     1912       27            159615.61       144198.37       303813.98
     1912       28            136266.21       131171.61       267437.82
     1912       29            165331.42       146660.72       311992.14
     1912       30            120553.84       114814.31       235368.15
     1912       31            221645.10       185150.76       406795.86
     1912       32             97516.79        96036.08       193552.87
     1912       33            141295.20       130864.54       272159.74
     1912       34            120785.82       117806.04       238591.86
     1912       35            134290.83       120545.95       254836.78
     1912       36            135505.77       124635.79       260141.56
     1912       37            139837.75       122342.09       262179.84
     1912       38            107931.82       101067.70       208999.52
     1912       39            135860.96       123009.66       258870.62
     1912       40             95549.18        93456.89       189006.07
     1912       41            213633.94       188751.04       402384.98
     1912       42             75345.47        75198.68       150544.15
     1912       43            113708.66       108365.24       222073.90
     1912       44             88127.96        84955.42       173083.38
     1912       45            110928.72       102876.01       213804.73
     1912       46            119924.57       118689.78       238614.35
     1912       47            109019.99        99056.06       208076.05
     1912       48             83683.96        80326.14       164010.10
     1912       49            115709.88       104783.31       220493.19
     1912       50             78801.47        79400.39       158201.86
     1912       51            197108.68       167308.65       364417.33
     1912       52             62307.00        64536.95       126843.95
     1912       53             90245.68        85453.79       175699.47
     1912       54             66890.84        65878.78       132769.62
     1912       55             89518.56        76700.66       166219.22
     1912       56             87577.50        82705.56       170283.06
